time, lin_acc_x, lin_acc_y, lin_acc_z, ang_vel_x, ang_vel_y, ang_vel_z
5.016667,6.1378665,7.6526184,-5.313072e-06,-9.129901e-05,-0.00011375602,0.012462716
5.033334,6.1056437,7.6783504,-4.788862e-06,-0.000109503446,-0.00013759012,0.012527448
5.05,6.0683403,7.707866,-4.6670507e-06,-0.000111385954,-0.00014131448,0.013115575
5.066667,6.0367165,7.7326574,-4.022563e-06,-0.0001330145,-0.00017034104,0.0125889275
5.0833335,5.998559,7.762294,-5.073843e-06,-0.00013976797,-0.00018084612,0.012947785
5.1000004,5.9626107,7.7899394,-5.9495715e-06,-0.00014291704,-0.00018667564,0.012891997
5.116667,5.9292865,7.815332,-6.8968798e-06,-0.00016454462,-0.00021673743,0.012385273
5.1333337,5.8945985,7.8415284,-5.731978e-06,-0.00017260399,-0.00022949839,0.012056544
5.15,5.861232,7.8664985,-5.4826437e-06,-0.00017445598,-0.00023403385,0.011684006
5.166667,5.8293314,7.890165,-4.9906807e-06,-0.00017946337,-0.0002427467,0.01120111
5.1833334,5.8007607,7.9111934,-3.7596244e-06,-0.00019284146,-0.00026291024,0.010424054
5.2000003,5.7723455,7.9319515,-5.1386687e-06,-0.00018796965,-0.00025814338,0.009828399
5.216667,5.747564,7.9499273,-4.485667e-06,-0.00019712665,-0.00027261852,0.009027989
5.2333336,5.7233615,7.9673696,-5.2482874e-06,-0.00019263834,-0.00026805044,0.008404538
5.2500005,5.7015586,7.982987,-5.477615e-06,-0.00018951987,-0.00026520714,0.00775976
5.266667,5.682111,7.9968424,-6.347991e-06,-0.00019551089,-0.00027512238,0.0070132557
5.283334,5.665961,8.008295,-4.9105142e-06,-0.00019828654,-0.000280176,0.0060359016
5.3,5.651293,8.018654,-5.0970375e-06,-0.00018309298,-0.0002597142,0.0052160216
5.316667,5.6391077,8.027229,-5.457808e-06,-0.00017600718,-0.00025044533,0.004473178
5.3333335,5.629648,8.033868,-4.134776e-06,-0.00015394916,-0.00021968817,0.0036269904
5.3500004,5.6216307,8.039482,-5.6381023e-06,-0.00014742132,-0.00021082546,0.0029334866
5.366667,5.615841,8.0435295,-5.591096e-06,-0.00012746289,-0.00018254385,0.0022617031
5.3833337,5.611457,8.046589,-6.1222145e-06,-0.0001181992,-0.00016951513,0.001701343
5.4,5.608597,8.048584,-4.906762e-06,-0.00010229706,-0.00014678654,0.001206574
5.416667,5.607015,8.049688,-5.6580952e-06,-9.44783e-05,-0.00013566962,0.000758977
5.4333334,5.606246,8.050223,-4.891578e-06,-8.288647e-05,-0.00011903703,0.00041272838
5.4500003,5.6060257,8.050377,-6.09195e-06,-7.708947e-05,-0.000110719375,0.00019100317
5.466667,5.6059604,8.050424,-5.5976275e-06,-7.64355e-05,-0.000109783236,6.968399e-05
5.4833336,5.605872,8.050485,-6.7907076e-06,-7.776929e-05,-0.00011171234,4.5194338e-05
5.5000005,5.6058407,8.050507,-5.9037e-06,-7.613496e-05,-0.00010933453,5.437266e-05
5.516667,5.605833,8.050511,-5.967626e-06,-7.992514e-05,-0.0001147874,6.1969804e-05
5.533334,5.605819,8.050522,-5.8419864e-06,-7.872017e-05,-0.00011308366,6.22494e-05
5.55,5.605844,8.050504,-5.9941985e-06,-7.709393e-05,-0.00011072669,5.7837904e-05
5.566667,5.605857,8.050496,-6.538436e-06,-7.854836e-05,-0.00011278757,5.544784e-05
5.5833335,5.605845,8.050503,-6.1263017e-06,-7.687002e-05,-0.00011036948,5.5694036e-05
5.6000004,5.6058435,8.050504,-5.9164327e-06,-7.8448305e-05,-0.00011268332,5.6090452e-05
5.616667,5.6058426,8.050506,-6.518226e-06,-7.6879805e-05,-0.000110452034,5.649604e-05
5.6333337,5.6058426,8.050506,-6.0497296e-06,-7.851303e-05,-0.000112749694,5.6458422e-05
5.65,5.605842,8.050507,-5.835506e-06,-7.691381e-05,-0.00011045196,5.6433484e-05
5.666667,5.605842,8.050506,-6.463218e-06,-7.8543795e-05,-0.00011277189,5.652248e-05
5.6833334,5.6058426,8.050505,-5.9973063e-06,-7.6914526e-05,-0.00011046501,5.6375648e-05
