lin_acc_x, lin_acc_y, lin_acc_z
9.42,2.73,-0.0
9.441,2.657,-0.0
9.462,2.582,-0.0
9.481,2.513,-0.0
9.498,2.448,-0.0
9.514,2.386,-0.0
9.529,2.327,-0.0
9.542,2.272,-0.0
9.553,2.226,-0.0
9.563,2.184,-0.0
9.572,2.144,-0.0
9.58,2.11,-0.0
9.586,2.082,-0.0
9.591,2.06,-0.0
9.595,2.041,-0.0
9.599,2.023,-0.0
9.601,2.013,-0.0
9.603,2.007,-0.0
9.604,2.0,-0.0
9.605,1.995,-0.0
9.605,1.993,-0.0
9.606,1.991,-0.0
9.606,1.99,-0.0
9.606,1.991,-0.0
9.605,1.994,-0.0
9.604,2.002,-0.0
9.601,2.014,-0.0
9.598,2.031,-0.0
9.593,2.054,-0.0
9.587,2.082,-0.0
9.58,2.114,-0.0
9.57,2.156,-0.0
9.558,2.207,-0.0
9.546,2.26,-0.0
9.531,2.322,-0.0
9.513,2.393,-0.0
9.493,2.471,-0.0
9.472,2.551,-0.0
9.448,2.641,-0.0
9.421,2.733,-0.0
9.392,2.833,-0.0
9.359,2.938,-0.0
9.325,3.043,-0.0
9.289,3.153,-0.0
9.249,3.266,-0.0
9.21,3.376,-0.0
9.168,3.487,-0.0
9.124,3.601,-0.0
9.08,3.712,-0.0
9.036,3.816,-0.0
8.992,3.919,-0.0
8.95,4.015,-0.0
8.907,4.11,-0.0
8.865,4.2,-0.0
8.825,4.284,-0.0
8.788,4.358,-0.0
8.754,4.427,-0.0
8.721,4.491,-0.0
8.692,4.546,-0.0
8.666,4.596,-0.0
8.643,4.64,-0.0
8.624,4.675,-0.0
8.608,4.705,-0.0
8.594,4.73,-0.0
8.584,4.749,-0.0
8.576,4.763,-0.0
8.571,4.773,-0.0
8.567,4.78,-0.0
8.565,4.784,-0.0
8.564,4.785,-0.0
8.563,4.786,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
8.563,4.787,-0.0
